Date,AAPL,MSFT,SPY
2025-10-22,258.19970703125,519.5675659179688,667.7999877929688
2025-10-23,259.3285827636719,519.5875244140625,671.760009765625
2025-10-24,262.56549072265625,522.6318359375,677.25
2025-10-27,268.5496520996094,530.527099609375,685.239990234375
2025-10-28,268.7394714355469,541.057373046875,687.0599975585938
2025-10-29,269.4388122558594,540.538330078125,687.3900146484375
2025-10-30,271.13714599609375,524.77783203125,679.8300170898438
2025-10-31,270.108154296875,516.8426513671875,682.0599975585938
2025-11-03,268.7894287109375,516.0641479492188,683.3400268554688
2025-11-04,269.7784729003906,513.3692016601562,675.239990234375
2025-11-05,269.8783874511719,506.2125549316406,677.5800170898438
2025-11-06,269.50872802734375,496.1713562011719,670.3099975585938
2025-11-07,268.2099914550781,495.8918762207031,670.969970703125
2025-11-10,269.42999267578125,505.0547180175781,681.4400024414062
2025-11-11,275.25,507.7297058105469,683.0
2025-11-12,273.4700012207031,510.1851501464844,683.3800048828125
2025-11-13,272.95001220703125,502.34979248046875,672.0399780273438
2025-11-14,272.4100036621094,509.2268981933594,671.9299926757812
2025-11-17,267.4599914550781,506.54193115234375,665.6699829101562
2025-11-18,267.44000244140625,492.8675537109375,660.0800170898438
2025-11-19,268.55999755859375,486.2099914550781,662.6300048828125
2025-11-20,266.25,478.42999267578125,652.530029296875
2025-11-21,271.489990234375,472.1199951171875,659.030029296875
