S0,K,T,C_mkt,iv_market
40.74,20.0,0.13,19.85,0.8716
40.74,25.0,0.13,14.45,0.0
40.74,30.0,0.13,10.25,0.6363
40.74,31.0,0.13,10.1,0.8404
40.74,32.0,0.13,8.15,0.4858
40.74,33.0,0.13,7.2,0.4513
40.74,34.0,0.13,6.55,0.4994
40.74,35.0,0.13,6.3,0.6094
40.74,36.0,0.13,5.05,0.4879
40.74,37.0,0.13,4.5,0.5065
40.74,38.0,0.13,3.85,0.495
40.74,39.0,0.13,3.65,0.5526
40.74,40.0,0.13,2.85,0.497
40.74,41.0,0.13,2.5,0.5097
40.74,42.0,0.13,2.17,0.5185
40.74,43.0,0.13,1.92,0.5328
40.74,44.0,0.13,1.55,0.5176
40.74,45.0,0.13,1.43,0.5418
40.74,46.0,0.13,1.05,0.5103
40.74,47.0,0.13,0.95,0.5286
40.74,48.0,0.13,0.85,0.543
40.74,49.0,0.13,0.62,0.5209
40.74,50.0,0.13,0.6,0.5462
40.74,51.0,0.13,0.74,0.5054
40.74,52.0,0.13,0.5,0.5332
40.74,53.0,0.13,0.38,0.5601
40.74,54.0,0.13,0.45,0.5083
40.74,55.0,0.13,0.26,0.5571
40.74,56.0,0.13,0.24,0.6357
40.74,57.0,0.13,0.38,0.6595
40.74,58.0,0.13,0.4,0.6826
40.74,59.0,0.13,0.15,0.7051
40.74,60.0,0.13,0.25,0.6669
40.74,61.0,0.13,0.15,0.7484
40.74,62.0,0.13,1.26,0.7692
40.74,63.0,0.13,0.48,0.7896
40.74,64.0,0.13,1.77,0.8095
40.74,65.0,0.13,0.2,0.7328
40.74,69.0,0.13,0.2,0.9028
40.74,70.0,0.13,0.1,0.779
40.74,71.0,0.13,0.8,0.9375
40.74,72.0,0.13,1.24,0.9543
40.74,75.0,0.13,0.55,1.003
40.74,80.0,0.13,0.18,0.9654
40.74,20.0,0.31,20.0,0.7677
40.74,25.0,0.31,14.95,0.5101
40.74,30.0,0.31,10.7,0.5349
40.74,35.0,0.31,7.6,0.5866
40.74,40.0,0.31,5.1,0.5895
40.74,41.0,0.31,4.45,0.5623
40.74,42.0,0.31,3.33,0.478
40.74,43.0,0.31,3.7,0.5611
40.74,44.0,0.31,2.72,0.4862
40.74,45.0,0.31,2.95,0.5472
40.74,46.0,0.31,2.88,0.5712
40.74,47.0,0.31,2.38,0.5416
40.74,48.0,0.31,1.88,0.507
40.74,49.0,0.31,1.88,0.5337
40.74,50.0,0.31,1.55,0.5149
40.74,51.0,0.31,1.4,0.5172
40.74,52.0,0.31,2.02,0.6279
40.74,53.0,0.31,1.48,0.5728
40.74,54.0,0.31,1.48,0.5941
40.74,55.0,0.31,1.07,0.5505
40.74,56.0,0.31,0.97,0.552
40.74,57.0,0.31,0.88,0.5517
40.74,58.0,0.31,0.82,0.5594
40.74,59.0,0.31,0.78,0.5661
40.74,60.0,0.31,0.68,0.5609
40.74,61.0,0.31,0.67,0.5764
40.74,62.0,0.31,0.62,0.58
40.74,63.0,0.31,0.58,0.5824
40.74,64.0,0.31,0.53,0.5838
40.74,65.0,0.31,0.45,0.5767
40.74,68.0,0.31,2.0,0.5918
40.74,69.0,0.31,3.12,0.6037
40.74,70.0,0.31,0.4,0.6236
40.74,71.0,0.31,0.45,0.627
40.74,73.0,0.31,1.26,0.6493
40.74,74.0,0.31,2.3,0.6602
40.74,75.0,0.31,0.23,0.6526
40.74,80.0,0.31,0.45,0.7475
40.74,20.0,0.55,20.2,0.6372
40.74,25.0,0.55,15.9,0.604
40.74,30.0,0.55,12.45,0.6207
40.74,35.0,0.55,9.15,0.5802
40.74,40.0,0.55,6.85,0.5834
40.74,41.0,0.55,5.8,0.5271
40.74,42.0,0.55,5.25,0.5127
40.74,43.0,0.55,4.9,0.5135
40.74,44.0,0.55,4.45,0.5038
40.74,45.0,0.55,4.5,0.5352
40.74,46.0,0.55,4.2,0.535
40.74,47.0,0.55,3.95,0.5376
40.74,48.0,0.55,3.65,0.5343
40.74,49.0,0.55,3.1,0.507
40.74,50.0,0.55,3.15,0.532
40.74,51.0,0.55,2.8,0.5195
40.74,52.0,0.55,2.85,0.5429
40.74,53.0,0.55,2.6,0.5371
40.74,54.0,0.55,2.55,0.5495
40.74,55.0,0.55,2.72,0.5832
40.74,56.0,0.55,2.6,0.5872
40.74,57.0,0.55,2.55,0.5978
40.74,58.0,0.55,2.12,0.5692
40.74,59.0,0.55,1.95,0.5648
40.74,60.0,0.55,1.7,0.5504
40.74,65.0,0.55,1.95,0.6422
40.74,70.0,0.55,1.8,0.6808
40.74,20.0,1.13,22.9,0.7671
40.74,25.0,1.13,17.75,0.5416
40.74,26.0,1.13,17.3,0.5664
40.74,27.0,1.13,16.6,0.5608
40.74,28.0,1.13,16.35,0.5956
40.74,29.0,1.13,15.5,0.5722
40.74,30.0,1.13,14.9,0.5702
40.74,31.0,1.13,13.85,0.5303
40.74,32.0,1.13,13.7,0.5621
40.74,33.0,1.13,13.2,0.5637
40.74,34.0,1.13,12.0,0.5131
40.74,35.0,1.13,11.55,0.517
40.74,36.0,1.13,11.0,0.5125
40.74,37.0,1.13,11.1,0.5502
40.74,38.0,1.13,10.25,0.5232
40.74,39.0,1.13,10.4,0.56
40.74,40.0,1.13,9.6,0.5348
40.74,41.0,1.13,9.05,0.5249
40.74,42.0,1.13,8.9,0.5387
40.74,43.0,1.13,8.55,0.5391
40.74,44.0,1.13,7.9,0.5207
40.74,45.0,1.13,7.75,0.5315
40.74,46.0,1.13,7.5,0.5355
40.74,47.0,1.13,7.2,0.5356
40.74,48.0,1.13,6.3,0.4997
40.74,49.0,1.13,6.45,0.525
40.74,50.0,1.13,6.25,0.5289
40.74,51.0,1.13,6.1,0.5351
40.74,52.0,1.13,5.8,0.5319
40.74,53.0,1.13,5.55,0.531
40.74,54.0,1.13,5.25,0.5264
40.74,55.0,1.13,5.4,0.5484
40.74,56.0,1.13,4.9,0.5307
40.74,57.0,1.13,5.05,0.5518
40.74,58.0,1.13,4.7,0.5422
40.74,59.0,1.13,4.65,0.5503
40.74,60.0,1.13,4.03,0.5222
40.74,61.0,1.13,4.15,0.5406
40.74,62.0,1.13,3.97,0.5397
40.74,63.0,1.13,3.95,0.548
40.74,64.0,1.13,4.08,0.5657
40.74,65.0,1.13,3.75,0.5541
40.74,66.0,1.13,3.33,0.5349
40.74,67.0,1.13,3.4,0.5488
40.74,68.0,1.13,3.3,0.5506
40.74,69.0,1.13,3.17,0.5504
40.74,70.0,1.13,3.45,0.5774
40.74,71.0,1.13,3.0,0.5542
40.74,72.0,1.13,3.17,0.5744
40.74,73.0,1.13,2.8,0.5552
40.74,74.0,1.13,2.55,0.544
40.74,75.0,1.13,2.65,0.5587
40.74,80.0,1.13,2.55,0.5851
40.74,20.0,2.15,24.6,0.6606
40.74,25.0,2.15,21.1,0.5981
40.74,30.0,2.15,17.9,0.5524
40.74,35.0,2.15,15.45,0.5402
40.74,39.0,2.15,14.35,0.563
40.74,40.0,2.15,13.7,0.5486
40.74,41.0,2.15,13.35,0.5485
40.74,42.0,2.15,13.7,0.581
40.74,43.0,2.15,12.75,0.5514
40.74,44.0,2.15,12.45,0.5522
40.74,45.0,2.15,11.95,0.5434
40.74,46.0,2.15,11.85,0.5523
40.74,47.0,2.15,11.45,0.5473
40.74,48.0,2.15,11.7,0.5709
40.74,49.0,2.15,10.55,0.5321
40.74,50.0,2.15,10.2,0.5285
40.74,51.0,2.15,10.8,0.5658
40.74,52.0,2.15,10.15,0.5484
40.74,53.0,2.15,9.8,0.5437
40.74,54.0,2.15,9.65,0.5474
40.74,55.0,2.15,9.3,0.5421
